id,category,sub_category,question_text,answer_type,answer_options,explanation
1,WSS Information,Scheme Address,Scheme Name,TEXT,,
4,WSS Information,Scheme Address,District,TEXT,,
5,WSS Information,Scheme Address,Tehsil,TEXT,,
6,WSS Information,Scheme Address,Village,TEXT,,
7,WSS Information,Scheme Address,PHE Division,TEXT,,
8,WSS Information,Scheme Address,PHE Sub-Division,TEXT,,
2,WSS Information,Coordinates,Northing,DECIMAL,,
3,WSS Information,Coordinates,Easting,DECIMAL,,
9,WSS Information,Surveyor's Information,Name,TEXT,,
10,WSS Information,Surveyor's Information,Designation,TEXT,,
11,WSS Information,Surveyor's Information,Phone Number,INTEGER,,
12,Technical,Source,Is there a solid waste dump site OR wastewater pond in vicinity of TW?,YES_NO,,
13,Technical,Source,Is the source water hardness within permissible limit? [below 500 mg/L as CaCO3],YES_NO,,
14,Technical,Source,Is the borehole properly covered?,YES_NO,,
15,Technical,Source,Is the water quality of the source monitored (e.g. is there any regular periodic sampling & testing from the source?,YES_NO,,
16,Technical,Source,Have any water shortages been experienced because of reduced yield of the source?,MULTIPLE_CHOICE_SINGLE,"No shortages experienced|Yes, shortages experienced for less than 3 months duration|Yes, shortages experienced for more than 3 months duration",
17,Technical,Source,Is another public TW available within a distance of 100 m (330 ft)?,YES_NO,,
18,Technical,Distribution Network,Are there any leakages from either the Rising main OR the Supply main?,YES_NO,,
19,Technical,Distribution Network,Does the Rising main or the Supply main traverse through a wastewater drain/ditch or in such proximity that wastewater can reach the pipe?,YES_NO,,
20,Technical,Distribution Network,"Is the water in the storage reservoir exposed to contamination (e.g. broken or missing access cover, broken ventilator openings)?",YES_NO,,
21,Technical,Distribution Network,Are there any leakages in the distribution network?,YES_NO,,
22,Technical,Distribution Network,Do the pipes in the distribution network traverse through a wastewater drain/ditch or in such proximity that wastewater can reach the pipes?,YES_NO,,
23,Technical,Distribution Network,Are illegal connections from the network common?,YES_NO,,
32,Technical,Distribution Network,What is the distribution network layout?,MULTIPLE_CHOICE_SINGLE,Looped| Branched,
24,Technical,Water Quality,Is the water supply chlorinated?,YES_NO,,
25,Technical,Water Quality,Is residual chlorine value in the distribution network monitored?,YES_NO,,
26,Technical,Water Quality,Is the water quality in the distribution network monitored (e.g. is there any regular periodic sampling & testing from the distribution network?,YES_NO,,
27,Technical,Connections,Are there any public standposts in the network?,YES_NO,,
28,Technical,Connections,Have the households in the service area their own connections at their premises?,YES_NO,,
29,Technical,Connections,Are there households who do not have their own connections but collect water from nearby connections or public standposts?,YES_NO,,
30,Technical,Design,Does the scheme include water storage reservoir with a capacity that can meet the community's water needs for a period of?,MULTIPLE_CHOICE_SINGLE,One day|Half day|Quarter day|No storage tank,
31,Technical,Design,What is the approximate pressure head at the critical points (farthest in the network OR at high elevations)?,MULTIPLE_CHOICE_SINGLE,More than 20 ft|Between 10-20ft|Between 5-10 ft|Less than 5 ft,
33,Technical,Design,Is the water supply to the consumers Continuous (24 hrs a day)?,YES_NO,,
34,Technical,Design,Is the scheme Gravity based?,YES_NO,,
35,Technical,Design,If the scheme is Pumping based then what is the source of electricity? ,MULTIPLE_CHOICE_MULTI,WAPDA Grid|Solar|Generator,
36,Technical,Design,On average (roughly) how often the scheme requires major repairs?,MULTIPLE_CHOICE_SINGLE,Once every year|Once every 6 months|Once every 3 months|Once every month,
37,Technical,Design,If the scheme is located in a flood-prone area then has the scheme been designed for protection against floods?,MULTIPLE_CHOICE_SINGLE,Yes|No|No flood risk,
38,Technical,Design,If the scheme is located in a drought-prone area then has the scheme been designed for resilience against droughts?,MULTIPLE_CHOICE_SINGLE,Yes|No|No drought risk,
39,Technical,Design,If the scheme is vulnerable to GLOFs then has the scheme been designed for protection against GLOFs?,MULTIPLE_CHOICE_SINGLE,Yes|No| No GLOF risk,
40,Institutional,Capacity,Officials in charge of the scheme who have completed a course in WASH in Emergencies? (Leave empty if no one has completed the course),MULTIPLE_CHOICE_MULTI,XEN|SDO|Sub-Engineer,
41,Institutional,Capacity,Who operates the scheme?,MULTIPLE_CHOICE_SINGLE,Government department (PHED/TMA/WSSC etc.)|Community,
42,Institutional,Capacity,How soon are most complaints resolved?,MULTIPLE_CHOICE_SINGLE,Within 24 hrs|Within 48 hrs|More than 48 hrs,
43,Institutional,Preparedness,Does a climate resilient water safety plan exist for the scheme that is regularly updated?,YES_NO,,
44,Institutional,Preparedness,"Does the department itself, OR in coordination with the District Administration, carry out periodic (every 5 years or less) disaster preparedness drills/ simulations/ exercises?",YES_NO,,
45,Institutional,Preparedness,Does the department have access to updated and location specific (at least district level) climate change projections?,YES_NO,,
46,Institutional,Response,Has an Emergency Response Plan (ERP) been prepared at the Division (XEN) level OR does the District Level ERP contains water supply component?,YES_NO,,
47,Institutional,Response,"Does any mechanism exist to coordinate with the district administration, health & education departments?",YES_NO,,
48,Environmental,Source Location,"Is the broader area within which the scheme is located, vulnerable to floods?",YES_NO,,
49,Environmental,Source Location,"Is the broader area within which the scheme is located, vulnerable to droughts?",YES_NO,,
50,Environmental,Source Location,"Is the broader area within which the scheme is located, vulnerable to GLOFs?",YES_NO,,
51,Environmental,Source Location,Are other safe water sources are available in the area which can supply the basic needs of the consumers in case of emergencies or long breakdowns?,YES_NO,,
52,Environmental,Watershed,"Does the watershed include activities / land uses that can introduce serious contaminants into the water source? [Examples include urban areas within the watershed, industrial activities, mining activities, agricultural lands using chemical fertilizers & pesticides]",YES_NO,,
53,Environmental,Watershed,"Are there any interventions for recharge of groundwater such as MAR, check dams, infiltration galleries OR water conservation measures such as metering, rainwater harvesting, reuse of wastewater?",YES_NO,,
54,Environmental,Watershed,Does that watershed contain ecosystem/ nature based interventions for floods mitigation?,YES_NO,,
55,Socio-Economic,Awareness,"Is the community involved in decision making e.g. in planning, operations of the WSS?",YES_NO,,
56,Socio-Economic,Awareness,Is the community involved/consulted/informed about emergency response plans? ,YES_NO,,
57,Socio-Economic,Awareness,Is access available to the internet through either mobile data or cable/wired services?,YES_NO,,
58,Socio-Economic,Awareness,Are there any reasons to believe that the literacy is BETTER or WORSE than the rest of the district? Please provide any such reasons:,TEXT,,
59,Socio-Economic,Access,What would be the average time (return journey) for the majority of the community to fetch water if the scheme becomes non-functional due to any reason? [Time in minutes],INTEGER,,
60,Socio-Economic,Access,Please provide any reasons that suggest that this area is either SAFER or LESS SAFE for women & children than the rest of the district:,TEXT,,
61,Socio-Economic,Access,"Compared to the overall situation in the district, does this area have BETTER or WORSE access to emergency services ( medical and relief)? Please provide reasons for either of the case:",TEXT,,
62,Socio-Economic,Vulnerable Population,"Does the coverage area of the scheme include any disadvantaged or vulnerable groups due to ethnic, religious, poverty reasons? Please provide comments:",TEXT,,
63,Socio-Economic,Vulnerable Population,Are there any reasons to believe that the community includes people with disabilities that is at a higher percentage than the rest of the district? Please write any such reasons:,TEXT,,
64,Socio-Economic,Economy,Are there any reasons to believe that the economic conditions in the area are either BETTER or WORSE than the rest of the district? Please provide any such reasons:,TEXT,,
